Group,ORIGIN,value,year
European Union,Greece,1428,2022
European Union,Spain,347019,2022
European Union,France,206972,2022
European Union,Martinique,151630,2022
European Union,Guadeloupe,55342,2022
European Union,Cyprus,2169,2022
European Union,Portugal,25591,2022
ACP countries,Côte d'Ivoire,290688,2022
ACP countries,Dominican Republic,261041,2022
ACP countries,Cameroon,171507,2022
ACP countries,Ghana,53084,2022
ACP countries,Belize,29829,2022
ACP countries,Angola,10730,2022
ACP countries,Suriname,,2022
ACP countries,Other,194,2022
Latin America,Ecuador,1425770,2022
Latin America,Colombia,1208398,2022
Latin America,Costa Rica,1056623,2022
Latin America,Panama,180657,2022
Latin America,Guatemala,172539,2022
Latin America,Peru,80888,2022
Latin America,Nicaragua,43957,2022
Latin America,Mexico,3567,2022
Latin America,Brazil,5532,2022
Latin America,Honduras,547,2022
Latin America,Others,0,2022
